Category,Message
education,"You’re invited to Google Cloud's App Dev & Infrastructure Summit on Thursday, December 5 & 6, 2024. This no-cost digital event features real-world strategies for app modernization, cloud compliance, and leveraging AI."
personal," I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?"
education,"Hey ,

 

Did you know Full-Stack Development is one of the most in-demand career paths in tech?


Top companies are hiring skilled Full-Stack Developers at incredible pay:


Google - 20 LPA
Swiggy - 27 LPA
Microsoft - 24 LPA


To be a successful Full-Stack Developer, skills like JavaScript, React and Node.js are a must! 


Join Nischay Jain, AWS-certified Senior Software Developer, for an exclusive Masterclass: ""Roadmap to Become a Full-Stack Developer""


Gain hands-on insights and take the first step toward your dream career! "
education,"Hey ,

 

Where are you in your journey to becoming a Full-Stack Developer Developer at a product company?

 

Do you know what skills recruiters at companies like Flipkart, Walmart, and PhonePe are looking for?

 

Have you figured out the best way to master these skills?

 

Get all the answers at our exclusive Masterclass with Nischay Jain, AWS Certified Senior Software Engineer, on the “Roadmap to Becoming a Full-Stack Developer”.

 

Join us tomorrow at 8 PM!
"
work,"

We saw your profile on Indeed and thought you would be a great match for the YouTube Content Creator opportunity. Please submit a quick application if you have any interest."
work,"

We saw your profile on Indeed and thought you would be a great match for the Jewellery Designer opportunity. Please submit a quick application if you have any interest."
education,"Before we get into your resume score, I just wanted to say…

Thanks for using Resume Worded for feedback on your resume/

(It feels like yesterday when I was helping my friends write their resumes at the kitchen table)

Anyway...here are your results:

Your resume got 8 out of 100.

And that’s good news — your resume (and your chances of landing a job) is only getting better from here.

Now, a quick heads up:

Score My Resume is an extremely powerful tool, but I’m not going to lie…

It can feel a little overwhelming at the start.

So, before you dive into it, remember the old African proverb:

“How do you eat an elephant?”"
work,"We are seeking for enthusiastic software developer trainee (Fresher) who are keen interested to work as developer trainee and able to handle key point of growth of company along with their growth with our reputed organization ""Weblinkin"".

Note - Kindly find attachment of employment bond policy letter to secure your time as well as company's time. 

Offered Package - 2.40 LPA (After Training Duration of 3 months)

Offer Stipend -INR 3000/- PM (During training period of 3 months)

Required qualification - B.Tech/MCA or equivalent (CS/IT background will be preferred first)

Required Language - HTML/CSS/JS/WordPress 

Designation - SD Trainee "
education,"Congratulations! You have successfully registered for the upcoming Weekly Contest 155 on Code 360. We look forward to seeing you on the leaderboards.

 

Weekly Contest 155 has been scheduled for Thursday, December 5, 2024 8:00 PM.

Key notes: 

Participate regularly to reach new peaks on your contest rating graph!

We don’t want to spam your inbox with reminder emails for the contests hence, we proactively deregister you from the upcoming contests, if you fail to participate in 3 consecutive contests.

While you buckle up for the contest, here is a list of top 50 hand picked most popular problems asked in weekly contest series curated for you."
work,We saw your profile on Indeed and thought you would be a great match for the Video Content Creator opportunity. Please submit a quick application if you have any interest.
education,"We are thrilled to announce the launch of our Certification Wizard, a new tool designed to streamline the process of generating and updating your YouAccel course completion certificates to complement your Udemy certificates. This user-friendly tool was developed in response to feedback from our learners, who expressed the need for a faster, more intuitive way to access and manage their certifications. Our goal with this Certification Wizard is to make it as simple and efficient as possible for you to administer credentials that reflect your hard work and dedication. The tool does not require registration. Certificates are only valid in combination with an existing Udemy certificate of completion. Instructions on downloading your Udemy certificate of completion are provided at the end of this guide."
education,"Don't miss the chance to checkout how the top solvers code.

Share your solution and gather insights from your fellow coders to excel in the next Problem of the day Challenge. 

The solutions which solved the problem in the least amount of time complexity are considered to be the best solution. "
education,"Just like those mischievous elves who mixed up the ornaments on Santa's Christmas tree, someone has scrambled the words in classic Christmas tales!

In this competition, your challenge is to put those words back in order, minimizing the perplexity of each passage. The lower the perplexity, the more sense the story makes!"
work,"Looking to bag that dream job? Philips is currently hiring for R&D Project Engineer Intern at INR 35,000 /Month (via Glassdoor) which will give you an opportunity to showcase your skills and kickstart your career! 

Selected candidate will get exposure to Model-Based System Engg., System Integration, Automation, etc."
education,"Are you ready to embark on an exciting journey of innovation and creativity?

We are delighted to announce the much-awaited 15th Annual Tech Fest, Techzooka 2024, themed around Innovation at Every Step. This dynamic and inclusive theme encourages you to think creatively and continuously improve in all your endeavors.

 

Innovation, as you all know, is the practical implementation of ideas that lead to the introduction of new goods or services or enhance existing ones. It is a multi-stage process encompassing ideation, screening, experimentation, commercialization, diffusion, and implementation."
education,"We hope you’re well!
We’re sharing an update on your application for Python Internship.

Firstly, thank you for applying for the internship and making your way through the process. Unfortunately, the Internship Mela has decided to move on with other candidates on the basis of their criteria.

But, don’t worry because your playground of opportunities isn’t empty. Explore other internships: Click Here

And don’t forget to keep speaking to mentors from the brands you want to work with along with upskilling in a diverse set of fields: Click Here
Stay unstoppable!"
education,"You’re invited to Google Cloud's App Dev & Infrastructure Summit on Thursday, December 5 & 6, 2024. This no-cost digital event features real-world strategies for app modernization, cloud compliance, and leveraging AI."
